,title,price,rating,num_ratings,url
40,Easy to understand infographic for your data,60.0,4.9,1387,https://www.upwork.com/services/product/design-easy-to-understand-infographic-for-your-data-1359825413705564160
41,A complete report from the given SPSS data,80.0,4.9,181,https://www.upwork.com/services/product/development-it-a-complete-report-from-the-given-spss-data-1396666261228236800
42,Data visualization for your data using ggplot2 - R,50.0,4.9,92,https://www.upwork.com/services/product/data-visualization-for-your-data-using-ggplot2-r-1549328423573549056
43,"Professional manual typing, data entry, data cleaning & formatting service",50.0,4.9,99,https://www.upwork.com/services/product/development-it-professional-manual-typing-data-entry-data-cleaning-formatting-service-1524753045914673152
44,Big data ETL and Machine Learning using Spark,50.0,4.9,19,https://www.upwork.com/services/product/big-data-etl-and-machine-learning-using-spark-1405447959699578880
45,A Best Data Cleansing Service,50.0,4.9,99,https://www.upwork.com/services/product/a-best-data-cleansing-service-1532212087527284736
46,A Power BI Dashboard to visualize your data,150.0,4.9,130,https://www.upwork.com/services/product/a-power-bi-dashboard-to-visualize-your-data-1470775074938728448
47,"Accurate data entry, typing, and PDF conversion into MS Word & MS Excel",10.0,5.0,546,https://www.upwork.com/services/product/admin-customer-support-accurate-data-entry-typing-and-pdf-conversion-into-ms-word-ms-excel-1351364085294780416
48,Diagnostics Tests for your Data and Model,75.0,4.8,55,https://www.upwork.com/services/product/diagnostics-tests-for-your-data-and-model-1458745860020404224
49,Web scraping data from any website,100.0,4.9,94,https://www.upwork.com/services/product/web-scraping-data-from-any-website-1372322267512733696
50,Your Business Data Visualization with DOMO Dashboards,50.0,4.9,139,https://www.upwork.com/services/product/your-business-data-visualization-with-domo-dashboards-1373173827621490688
51,Web Scraping/Data Scraping & Data Extraction or Web Automation Service,90.0,4.9,85,https://www.upwork.com/services/product/web-scraping-data-scraping-data-extraction-or-web-automation-service-1347963497385902080
52,"Excel data entry, PDF to excel, data analysis and web research",11.0,4.9,240,https://www.upwork.com/services/product/admin-customer-support-excel-data-entry-pdf-to-excel-data-analysis-and-web-research-1325791711078354944
53,A fantastic Google Data Studio Dashboard,150.0,4.9,283,https://www.upwork.com/services/product/a-fantastic-google-data-studio-dashboard-1331182543719059456
54,"Web Scraping, Data Extraction, Data Scraping and Web Automation service",60.0,5.0,50,https://www.upwork.com/services/product/web-scraping-data-extraction-data-scraping-and-web-automation-service-1530518528361992192
55,"Data entry, copy paste, typing, data mining, web scrapping and web research",12.0,4.9,225,https://www.upwork.com/services/product/data-entry-copy-paste-typing-data-mining-web-scrapping-and-web-research-1561283848934285312
56,The Google Analytics dashboard in Data Studio,50.0,5.0,124,https://www.upwork.com/services/product/the-google-analytics-dashboard-in-data-studio-1335936051119943680
57,"Web Scraping, Data Extraction, Data Scraping and Web Automation service",100.0,5.0,96,https://www.upwork.com/services/product/development-it-web-scraping-data-extraction-data-scraping-and-web-automation-service-1595134186900488192
58,1 hr of consultation on Data Analytics/Data Visualization -Power BI/Tableau,100.0,4.0,69,https://www.upwork.com/services/product/development-it-1-hr-of-consultation-on-data-analytics-data-visualization-power-bi-tableau-1527146218094653440
59,Web scraping data in various formats,50.0,4.9,100,https://www.upwork.com/services/product/web-scraping-data-in-various-formats-1502744983468531712
60,Perfect data entry services,11.0,4.9,153,https://www.upwork.com/services/product/admin-customer-support-perfect-data-entry-services-1382228201129988096
61,An Interactive Google Data Studio Dashboard,100.0,4.9,55,https://www.upwork.com/services/product/development-it-an-interactive-google-data-studio-dashboard-1430111315219566592
62,"Perfect data entry, web research and copy paste services",12.0,5.0,248,https://www.upwork.com/services/product/admin-customer-support-perfect-data-entry-web-research-and-copy-paste-services-1431883983401549824
63,"Affordable Data Entry, data mining, typing, research & Convert PDF to Excel",18.0,5.0,779,https://www.upwork.com/services/product/admin-customer-support-excellent-data-entry-web-research-virtual-assistants-services-1395808402979139584
64,White Hat SEO Local Citations & Directories High Quality & Manually Created,50.0,4.9,620,https://www.upwork.com/services/product/marketing-white-hat-seo-local-citations-directories-high-quality-manually-created-1371596546228965376
65,"Python web scraping, data extraction, data scraping, and web automation",100.0,3.7,51,https://www.upwork.com/services/product/python-web-scraping-data-extraction-data-scraping-and-web-automation-1419274840574013440
66,Custom Web App to transfer data to Google sheet using Google Apps Script,60.0,5.0,67,https://www.upwork.com/services/product/custom-web-app-to-manipulate-google-sheet-data-using-google-apps-script-1351740148504481792
67,"Product data scraped from Amazon, eBay, Walmart or Walgreens",50.0,5.0,101,https://www.upwork.com/services/product/product-data-scraped-from-ebay-walmart-or-walgreens-1307965862948823040
68,Form data submitted from Wix to Google Sheets,150.0,4.9,249,https://www.upwork.com/services/product/form-data-submitted-from-wix-to-google-sheets-1479790809796599808
69,A great data studio interactive dashboard from any data source,50.0,5.0,81,https://www.upwork.com/services/product/development-it-a-great-data-studio-interactive-dashboard-from-any-data-source-1393119141172424704
70,"Data Extraction, Web Scraping, Data Scraping and Web Automation service",100.0,4.1,91,https://www.upwork.com/services/product/development-it-data-extraction-web-scraping-data-scraping-and-web-automation-service-1572837177288466432
71,ECommerce Product Upload/Import Services - Data Entry,49.0,5.0,123,https://www.upwork.com/services/product/ecommerce-product-upload-import-services-data-entry-1462796892397965312
72,Quality ETL data from raw sources,50.0,4.8,96,https://www.upwork.com/services/product/quality-result-of-crawl-parsing-data-from-web-sites-1317002583055187968
73,Amazing Brochures & Flyers Designs!,50.0,4.9,3489,https://www.upwork.com/services/product/design-amazing-brochures-flyers-designs-1414850822164963328
74,"Data entry, web scraping, typing, copy paste, web research",15.0,4.7,346,https://www.upwork.com/services/product/admin-customer-support-data-entry-web-scraping-typing-copy-paste-web-research-1582995927653875712
75,Lead generation/Email List Building /Data Collection Service,25.0,5.0,173,https://www.upwork.com/services/product/marketing-lead-generation-email-list-building-data-collection-service-1337806535273517056
76,A Custom Google Data Studio Dashboard,150.0,4.9,131,https://www.upwork.com/services/product/development-it-a-custom-google-data-studio-dashboard-1488848590367031296
77,Impressive Charts and graphs to visualize data,55.0,4.9,72,https://www.upwork.com/services/product/impressive-charts-and-graphs-to-visualize-data-1517094151909335040
78,A fantastic mail merge tool to generate bulk documents from excel data,80.0,4.9,136,https://www.upwork.com/services/product/a-fantastic-mail-merge-tool-to-generate-bulk-documents-from-excel-data-1467733623234543616
79,A tool to extract the required data from PDF to Excel on a single click,30.0,4.8,353,https://www.upwork.com/services/product/a-tool-that-will-extract-require-data-from-pdf-to-excel-on-single-click-1314769718557360128
80,"Reliable excel data entry, data merge, data mining ,cleanup ,data typing",15.0,4.9,115,https://www.upwork.com/services/product/admin-customer-support-reliable-excel-data-entry-data-merge-data-mining-cleanup-data-typing-1378188559920848896
81,A dashboard reflecting key metrics from your data source,50.0,4.7,83,https://www.upwork.com/services/product/a-dashboard-reflecting-key-metrics-from-your-data-source-1487343880975220736
82,Scraped data from websites,50.0,4.9,68,https://www.upwork.com/services/product/scraped-data-from-websites-1538223927189553152
83,Professional Data Entry Form in Excel / Excel VBA.,50.0,4.9,79,https://www.upwork.com/services/product/professional-data-entry-form-in-excel-excel-vba-1560356741968576512
84,Google Data Studio Interactive Financial Dashboard Reports,50.0,4.5,74,https://www.upwork.com/services/product/ecommerce-marketing-financial-dashboard-on-google-data-studio-1340153976751767552
85,An interactive data visualizations with D3.js,40.0,5.0,104,https://www.upwork.com/services/product/development-it-an-interactive-data-visualizations-with-d3-js-1596141877277196288
86,"Data Entry, Data Mining, Data Collection, Excel Data cleaning Services",11.0,5.0,64,https://www.upwork.com/services/product/admin-customer-support-data-entry-data-mining-data-collection-excel-data-cleaning-services-1386009589145804800
87,Complex or Simple Infographics and Data Visualization,45.0,4.9,272,https://www.upwork.com/services/product/complex-or-simple-infographics-and-data-visualization-1506444485942042624
88,"B2B Database Enrichment, Cleansing and Contact-Email Validation services",100.0,4.8,733,https://www.upwork.com/services/product/database-validation-enrichment-and-cleansing-services-1431155106077614080
89,"Professional manual typing, Data Entry, Data cleaning & Formatting service",50.0,4.9,48,https://www.upwork.com/services/product/professional-manual-typing-data-entry-data-cleaning-formatting-service-1530098698202853376
90,A data warehouse with BI reporting,150.0,4.8,144,https://www.upwork.com/services/product/a-data-warehouse-with-bi-reporting-1508692544980934656
91,A tool for scraping data from your data source.,50.0,5.0,49,https://www.upwork.com/services/product/customs-tools-for-scraping-data-from-any-sources-1349763006868504576
92,"Superfast web scraping, data scraping, data mining, and data extraction",80.0,5.0,56,https://www.upwork.com/services/product/superfast-web-scraping-data-scraping-data-mining-and-data-extraction-1423261593015771136
93,Affordable Data Entry Services with 100% accuracy,12.0,4.8,312,https://www.upwork.com/services/product/admin-customer-support-affordable-data-entry-services-with-100-accuracy-1595249846426537984
94,An Expert for Data Analyst and Data Visualizer,50.0,4.8,15,https://www.upwork.com/services/product/dashboard-on-tableau-power-bi-excel-data-visualization-1507349219226677248
95,"Data Entry, Research, Web search, Data Cleaning, Data Validation, etc",12.0,4.9,126,https://www.upwork.com/services/product/admin-customer-support-data-entry-research-web-search-data-cleaning-data-validation-etc-1392253247874539520
96,"Highly functional, turn-key Google Data Studio Dashboard",99.0,4.7,33,https://www.upwork.com/services/product/development-it-highly-functional-turn-key-google-data-studio-dashboard-1397601795701932032
97,A successful facebook ads campaign,55.0,4.8,944,https://www.upwork.com/services/product/marketing-a-successful-facebook-ads-campaign-1357253627977695232
98,Pivot table(s) set up for your Excel data,150.0,4.8,234,https://www.upwork.com/services/product/pivot-table-s-set-up-for-your-excel-data-1353368931596099584
99,"Data Analysis, data visualization, business insights in Excel/ Google Sheet",40.0,5.0,40,https://www.upwork.com/services/product/development-it-data-analysis-data-visualization-business-insights-in-excel-google-sheet-1581241750511235072
100,"Anything you need in Microsoft excel, vba and macros",60.0,4.8,191,https://www.upwork.com/services/product/development-it-anything-you-need-in-microsoft-excel-vba-and-macros-1340414007502680064
101,An advanced Excel Professional Looking Dashboard with Data Analysis,150.0,5.0,126,https://www.upwork.com/services/product/an-advanced-excel-professional-looking-dashboard-with-data-analysis-1511778824459010048
102,"A quality data analysis, online tutoring, statistics, international finance",100.0,4.7,64,https://www.upwork.com/services/product/a-quality-data-analysis-online-tutoring-statistics-international-finance-1396169865746747392
103,"Editing PDF, JPEG, or SCAN files data removing, adding, or changing",15.0,5.0,982,https://www.upwork.com/services/product/editing-pdf-jpeg-or-scan-files-data-removing-adding-or-changing-1475356769541836800
104,"Web research, data mining, mailing list etc",35.0,4.8,161,https://www.upwork.com/services/product/admin-customer-support-web-research-data-mining-mailing-list-etc-1323992749438394368
105,"Virtual Assistant for Data Entry, Data Mining, Web Research & copy paste",30.0,4.7,109,https://www.upwork.com/services/product/admin-customer-support-virtual-assistant-for-data-entry-data-mining-web-research-copy-paste-1467368000978014208
106,A custom Google Data Studio Dashboard with insights into your business!,90.0,5.0,60,https://www.upwork.com/services/product/a-custom-google-data-studio-dashboard-with-insights-into-your-business-1467850931353800704
107,Data science consultation on call,50.0,5.0,67,https://www.upwork.com/services/product/data-science-consultation-on-call-1381323103077072896
108,Python web scraping and automation on any complex website,75.0,4.9,298,https://www.upwork.com/services/product/development-it-python-web-scraping-and-automation-on-any-complex-website-1324984709234266112
109,"Web scraping, Data Mining, Data Scraping, Data Extraction with clean data",200.0,4.9,196,https://www.upwork.com/services/product/development-it-web-scraping-data-mining-data-scraping-data-extraction-with-clean-data-1414248352887648256
110,Online research and data extraction services,50.0,4.9,242,https://www.upwork.com/services/product/online-research-and-data-extraction-services-1552190929574064128
111,A thorough market research & Data Analysis,100.0,4.8,151,https://www.upwork.com/services/product/a-thorough-market-research-data-analysis-1424361613114130432
112,A complete data science project with machine learning,120.0,4.8,73,https://www.upwork.com/services/product/a-complete-data-science-project-with-machine-learning-1314641746897350656
113,"Data Entry, web research, typing, copy paste, data mining or web scraping",11.0,4.9,133,https://www.upwork.com/services/product/admin-customer-support-data-entry-data-entry-specialist-online-data-entry-excel-data-entry-1347311092080132096
114,"B2B Lead Generation, Contact List Building, Targeted Lead List, Data Mining",20.0,5.0,576,https://www.upwork.com/services/product/marketing-b2b-lead-generation-contact-list-building-targeted-lead-list-data-mining-1467581107573714944
115,Data analysis using aws quicksight,50.0,5.0,42,https://www.upwork.com/services/product/i-will-do-data-analysis-using-aws-quicksight-1314372525726154752
116,Functional Google Data Studio Dashboard,49.0,5.0,33,https://www.upwork.com/services/product/functional-google-data-studio-dashboard-1503299552674078720
117,Medical or scientific data annotated for the purpose of machine learning,60.0,5.0,50,https://www.upwork.com/services/product/medical-or-scientific-data-annotated-for-the-purpose-of-machine-learning-1310924874701561856
118,"Web Scraping, web crawling, data extraction, data mining",80.0,5.0,44,https://www.upwork.com/services/product/web-scraping-web-crawling-data-extraction-data-mining-1371449796971974656
119,"Professional excel data entry, cleaning and formatting service",50.0,5.0,30,https://www.upwork.com/services/product/professional-excel-data-entry-cleaning-and-formatting-service-1509949833581735936
120,3 hours of data entry work,15.0,4.9,170,https://www.upwork.com/services/product/admin-customer-support-3-hours-of-data-entry-work-1314796996853633024
121,Data scraped from website/source,70.0,5.0,48,https://www.upwork.com/services/product/data-scraped-from-any-website-1321903894800666624
122,Web Scraping and Data Mining,30.0,5.0,127,https://www.upwork.com/services/product/development-it-web-scraping-and-data-mining-1357913314209259520
123,"Data Entry, Copy-Paste, Typing, Product Entry, Data Clean, Research Service",9.0,4.9,281,https://www.upwork.com/services/product/admin-customer-support-data-entry-copy-paste-typing-product-entry-data-clean-research-service-1477253825137954816
124,"Data scraping, web extraction, and data mining in superfast!",30.0,4.8,92,https://www.upwork.com/services/product/admin-customer-support-data-scraping-web-extraction-and-data-mining-in-superfast-1427701598647988224
125,A detailed SPSS analysis of your research data,50.0,5.0,51,https://www.upwork.com/services/product/a-detailed-spss-analysis-of-your-research-data-1450546946828353536
126,A google data studio report or dashboard,150.0,4.9,115,https://www.upwork.com/services/product/development-it-a-google-data-studio-report-or-dashboard-1421104915307868160
127,A stunning google data studio dashboard,75.0,4.9,19,https://www.upwork.com/services/product/a-stunning-google-data-studio-dashboard-1405363273734758400
128,"WordPress Data Entry for blog posting, Product Listing, Article Posting",50.0,4.9,214,https://www.upwork.com/services/product/admin-customer-support-wordpress-data-entry-for-blog-posting-product-listing-article-posting-1400515704482390016
129,An analysis of your survey data,150.0,5.0,19,https://www.upwork.com/services/product/get-an-analysis-of-your-survey-data-1489198261111291904
130,"A map with your data (google spreadsheet, choropleth, markers, filters)",100.0,5.0,269,https://www.upwork.com/services/product/a-map-for-you-website-with-your-data-choropleth-markers-pins-filters-1324347264922570752
131,Web scrapping and data scrapping for your business,50.0,4.5,65,https://www.upwork.com/services/product/web-scrapping-and-data-scrapping-for-your-business-1479449666122702848
132,Scraping services and product data scrapped,50.0,4.6,57,https://www.upwork.com/services/product/scrapping-services-and-product-data-scrapped-1458871791449763840
133,A one stop Google Sheets solution for any requirements,50.0,4.8,403,https://www.upwork.com/services/product/development-it-a-one-stop-google-sheets-solution-for-any-requirements-1319538918328971264
134,Google Analytics E-commerce funnel Google Data Studio report,90.0,4.7,26,https://www.upwork.com/services/product/google-analytics-e-commerce-funnel-google-data-studio-report-1415707993938915328
135,Python based Web scraping|Datamining|Webcrawling tools and data.,50.0,5.0,56,https://www.upwork.com/services/product/python-based-web-scraping-datamining-webcrawling-tools-and-data-1316104878689325056
136,Stunning interactive Google Data Studio dashboard,100.0,4.8,25,https://www.upwork.com/services/product/stunning-interactive-google-data-studio-dashboard-1448236919484030976
137,"Data structure and algorithm tutoring in c++, c#, java or python",50.0,5.0,79,https://www.upwork.com/services/product/development-it-data-structure-and-algorithm-tutoring-in-c-c-java-or-python-1437488621747838976
138,WordPress Data Entry and WooCommerce Product upload - Shopify product entry,29.0,4.6,452,https://www.upwork.com/services/product/admin-customer-support-wordpress-data-entry-and-woocommerce-product-upload-shopify-product-entry-1429173484175179776
139,"Google Analytics 4 (Lead & E-commerce GA4), GTM, Google Data Studio Setup",149.0,4.9,525,https://www.upwork.com/services/product/marketing-google-analytics-4-lead-e-commerce-ga4-gtm-google-data-studio-setup-1351329901727854592
140,A data merge work in Adobe InDesign,25.0,5.0,212,https://www.upwork.com/services/product/a-data-merge-work-in-adobe-indesign-within-quick-timeline-1399735029709074432
141,"All kinds of accurate Data Analytics, SQL & Data Visualisation Services",100.0,4.5,39,https://www.upwork.com/services/product/development-it-all-kinds-of-accurate-data-analytics-sql-data-visualisation-services-1400781303590440960
142,Professional Data Entry Services,15.0,4.8,179,https://www.upwork.com/services/product/admin-customer-support-professional-data-entry-services-1338149786227990528
143,Five years basic statements data from SEC / Annual Reports,70.0,5.0,55,https://www.upwork.com/services/product/development-it-five-years-basic-statements-data-from-sec-annual-reports-1579000146598875136
144,B2B Sales Lead Enrichment/Data Entry/Research and LinkedIn Support,50.0,4.9,213,https://www.upwork.com/services/product/team-support-for-sales-lead-enrichment-data-entry-research-and-linkedin-job-1383352689687605248
145,Professional Data Analyst Assistant on SPSS,60.0,4.9,31,https://www.upwork.com/services/product/development-it-professional-data-analyst-assistant-1555560970804649984
146,Publicly available data from any website,50.0,4.7,48,https://www.upwork.com/services/product/publicly-data-from-any-website-1348337173346971648
147,A comprehensive analysis of your survey data in a PDF report,75.0,4.9,202,https://www.upwork.com/services/product/a-comprehensive-analysis-of-your-survey-data-in-a-pdf-report-1520949299209003008
148,Mine data or web scrape from any website or webpage,35.0,5.0,164,https://www.upwork.com/services/product/development-it-mine-data-or-web-scrape-from-any-website-or-webpage-1593876749064658944
149,"Web scraping, data mining and data scraping done for you",100.0,4.9,24,https://www.upwork.com/services/product/i-will-do-web-scraping-data-mining-and-data-scraping-1315389607623901184
150,Custom clickable map application powered by data from a Google Spreadsheet,200.0,4.8,229,https://www.upwork.com/services/product/custom-clickable-map-powered-by-data-from-a-google-spreadsheet-1349739902354182144
151,"A comprehensive data analysis and report using SPSS, R, STATA and Excel",100.0,4.2,47,https://www.upwork.com/services/product/a-comprehensive-data-analysis-and-report-using-spss-r-stata-and-excel-1310656012946501632
152,Data Extracted and Cleaned up,60.0,4.7,30,https://www.upwork.com/services/product/extracted-data-from-urls-1392276393437765632
153,"Data scrapping , web scrapping and data extraction",60.0,2.8,39,https://www.upwork.com/services/product/data-scrapping-web-scrapping-and-data-extraction-1352538663265501184
154,"Web Scraping, Data Extraction in structured format",60.0,4.8,35,https://www.upwork.com/services/product/web-scraping-data-extraction-in-structured-format-1363249291425411072
155,Web Scraping - Data Scraping - Data Extraction - Web Automation Service,150.0,5.0,102,https://www.upwork.com/services/product/development-it-web-scraping-data-scraping-data-extraction-web-automation-service-1398829961716391936
156,Creative infographic for your data,50.0,4.9,188,https://www.upwork.com/services/product/creative-infographic-for-your-data-1401363761910272000
157,A price calculator based on raw data in Google Sheet,200.0,5.0,194,https://www.upwork.com/services/product/a-price-calculator-based-on-raw-data-in-google-sheet-1455884574480318464
158,A delivery of Power BI Data Model in awesome manner.,100.0,4.9,73,https://www.upwork.com/services/product/a-delivery-of-power-bi-data-model-in-awesome-manner-1314525932164329472
159,Your data entry project done with a professional pair of hands!,12.0,5.0,165,https://www.upwork.com/services/product/a-short-data-entry-project-worth-2-hours-of-work-done-only-for-10-1314609123854692352
160,"Prospecting, linkedin prospecting, contract list building & data entry",25.0,4.9,149,https://www.upwork.com/services/product/marketing-prospecting-linkedin-prospecting-contract-list-building-data-entry-1314585531137335296
161,Custom Realtime Dashboard using Google Data Studio,50.0,4.8,41,https://www.upwork.com/services/product/custom-realtime-dashboard-using-google-data-studio-1483762427607261184
162,"Your data scrapped, transformed, cleaned and manipulated",50.0,5.0,52,https://www.upwork.com/services/product/your-data-transformed-cleaned-and-manipulated-1349405011240894464
163,"Data scraping, web scraping, data extraction and data mining",150.0,5.0,68,https://www.upwork.com/services/product/data-scraping-web-scraping-data-extraction-and-data-mining-1448633363342307328
164,Online and offline data entry jobs by expert VA,15.0,4.9,105,https://www.upwork.com/services/product/online-and-offline-data-entry-jobs-by-expert-va-1371489900163747840
165,"ETL, data mining, data engineering and data extraction using python",50.0,4.1,28,https://www.upwork.com/services/product/etl-data-mining-data-engineering-and-data-extraction-using-python-1445262611660771328
166,"Web Scraping, Data Mining, Data Extraction and Web Crawling services",30.0,4.9,65,https://www.upwork.com/services/product/web-scraping-data-mining-data-extraction-and-web-crawling-services-1521054398400524288
167,Master CSV file combining data from multiple CSV files,150.0,5.0,144,https://www.upwork.com/services/product/you-will-get-master-csv-file-combining-data-from-multiple-csv-files-1349739309829050368
168,"Data Entry, Data Gather, Data Mine, Copy/Paste, CRM Data, Excel Data Entry",16.0,4.9,212,https://www.upwork.com/services/product/fast-accurate-data-entry-web-research-or-excel-task-1349724039952023552
169,A data from another platform to Shopify.,250.0,4.8,160,https://www.upwork.com/services/product/a-data-from-another-platform-to-shopify-1356926747420426240
170,"A VA for Web Research, Data Entry and Data Collection.",15.0,4.9,148,https://www.upwork.com/services/product/a-va-for-web-research-data-entry-and-data-collection-1374272059445481472
171,"Verified Cell Phone Number, Business Phone Number, and Emails",30.0,4.6,106,https://www.upwork.com/services/product/marketing-verified-cell-phone-number-business-phone-number-and-emails-1408371350252597248
